gbifid,anio,mes,taxonrank,scientificname,decimallatitude,decimallongitude,eventdate,individualcount,locality,stateprovince,issue,comunidad_autonoma,nombre_cientifico
857005592,2003.0,9.0,species,"Stenella longirostris (Gray, 1828)",27.6127,-17.9893,2003-09-17 09:30:00+00:00,,punta restinga,desconocido,coordinate_reprojection_suspicious;continent_derived_from_coordinates;taxon_match_taxon_id_ignored,no asignado,Stenella longirostris
5108210532,2021.0,10.0,species,"Globicephala macrorhynchus Gray, 1846",28.106339,-16.801829,,,desconocido,islas canarias,coordinate_rounded;continent_derived_from_coordinates;taxon_match_taxon_id_ignored,canarias,Globicephala macrorhynchus
5108143503,2021.0,10.0,species,"Globicephala macrorhynchus Gray, 1846",28.106434,-16.797682,,,desconocido,islas canarias,coordinate_rounded;continent_derived_from_coordinates;taxon_match_taxon_id_ignored,canarias,Globicephala macrorhynchus
5104717425,2015.0,3.0,species,"Stenella frontalis (G.Cuvier, 1829)",28.508595,-15.799281,,,desconocido,desconocido,coordinate_rounded;country_derived_from_coordinates;taxon_match_taxon_id_ignored,no asignado,Stenella frontalis
5104701352,2015.0,3.0,species,"Stenella frontalis (G.Cuvier, 1829)",28.508595,-15.799281,,,desconocido,desconocido,coordinate_rounded;country_derived_from_coordinates;taxon_match_taxon_id_ignored,no asignado,Stenella frontalis
5104699333,2015.0,3.0,species,"Globicephala macrorhynchus Gray, 1846",28.508595,-15.799281,,,desconocido,desconocido,coordinate_rounded;country_derived_from_coordinates;taxon_match_taxon_id_ignored,no asignado,Globicephala macrorhynchus
5104677388,2015.0,3.0,species,"Tursiops truncatus (Montagu, 1821)",28.508595,-15.799281,,,desconocido,desconocido,coordinate_rounded;country_derived_from_coordinates;taxon_match_taxon_id_ignored,no asignado,Tursiops truncatus
5104677381,2015.0,3.0,species,"Globicephala macrorhynchus Gray, 1846",28.508595,-15.799281,,,desconocido,desconocido,coordinate_rounded;country_derived_from_coordinates;taxon_match_taxon_id_ignored,no asignado,Globicephala macrorhynchus
5104647252,2015.0,3.0,species,"Stenella frontalis (G.Cuvier, 1829)",28.508595,-15.799281,,,desconocido,desconocido,coordinate_rounded;country_derived_from_coordinates;taxon_match_taxon_id_ignored,no asignado,Stenella frontalis
5104643282,2015.0,3.0,species,"Globicephala macrorhynchus Gray, 1846",28.508595,-15.799281,,,desconocido,desconocido,coordinate_rounded;country_derived_from_coordinates;taxon_match_taxon_id_ignored,no asignado,Globicephala macrorhynchus
5104619264,2015.0,3.0,species,"Stenella frontalis (G.Cuvier, 1829)",28.508595,-15.799281,,,desconocido,desconocido,coordinate_rounded;country_derived_from_coordinates;taxon_match_taxon_id_ignored,no asignado,Stenella frontalis
5104603355,2015.0,3.0,species,"Delphinus delphis Linnaeus, 1758",28.508595,-15.799281,,,desconocido,desconocido,coordinate_rounded;country_derived_from_coordinates;taxon_match_taxon_id_ignored,no asignado,Delphinus delphis
5104575505,2015.0,3.0,species,"Delphinus delphis Linnaeus, 1758",28.508595,-15.799281,,,desconocido,desconocido,coordinate_rounded;country_derived_from_coordinates;taxon_match_taxon_id_ignored,no asignado,Delphinus delphis
